team_id	qns_id	article_title	path	qns_difficulty_by_questioner	qns_text	is_disfluent?	is_bad_qns?	answer	qns_difficulty_by_answerer
ᖤ( ᑒ )ᖢ	1	Klingon_language	set3/a5	hard	What does "jIl moH ghajjaj jaghHomlIj" mean in English?	False	False	May your rival have an ugly neighbor	medium
ᖤ( ᑒ )ᖢ	1	Klingon_language	set3/a5	hard	What does "jIl moH ghajjaj jaghHomlIj" mean in English?	False	False	May your rival have an ugly neighbor	medium
ᖤ( ᑒ )ᖢ	2	Klingon_language	set3/a5	hard	Who designed the Klingon language?	False	False	Marc Okrand	medium
ᖤ( ᑒ )ᖢ	2	Klingon_language	set3/a5	hard	Who designed the Klingon language?	False	False	Marc Okrand	medium
ᖤ( ᑒ )ᖢ	3	Klingon_language	set3/a5	hard	What font does the "Learn Klingon" course use?	False	False	Hol-pIqaD TrueType	medium
ᖤ( ᑒ )ᖢ	3	Klingon_language	set3/a5	hard	What font does the "Learn Klingon" course use?	False	False	HolpIqaD	medium
ᖤ( ᑒ )ᖢ	4	Klingon_language	set3/a5	medium	What is Klingon sometimes referred to as?	False	False	Klingonese	easy
ᖤ( ᑒ )ᖢ	4	Klingon_language	set3/a5	medium	What is Klingon sometimes referred to as?	False	False	Klingonese	medium
ᖤ( ᑒ )ᖢ	5	Klingon_language	set3/a5	medium	How many fluent speakers of Klingon did Arika Okrent guess exist?	False	False	20-30	medium
ᖤ( ᑒ )ᖢ	5	Klingon_language	set3/a5	medium	How many fluent speakers of Klingon did Arika Okrent guess exist?	False	False	20-30	medium
ᖤ( ᑒ )ᖢ	6	Klingon_language	set3/a5	medium	How many Klingon translations of works of world literature have been published?	False	False	Four	easy
ᖤ( ᑒ )ᖢ	6	Klingon_language	set3/a5	medium	How many Klingon translations of works of world literature have been published?	False	False	4	medium
ᖤ( ᑒ )ᖢ	7	Klingon_language	set3/a5	easy	Is the Klingon language spoken by fictional Klingons in the Star Wars universe?	False	False	Yes	easy
ᖤ( ᑒ )ᖢ	7	Klingon_language	set3/a5	easy	Is the Klingon language spoken by fictional Klingons in the Star Wars universe?	False	False	yes	easy
ᖤ( ᑒ )ᖢ	8	Klingon_language	set3/a5	easy	Was the Klingon Christmas Carol primarily in English?	False	False	No	medium
ᖤ( ᑒ )ᖢ	8	Klingon_language	set3/a5	easy	Was the Klingon Christmas Carol primarily in English?	False	False	no	easy
ᖤ( ᑒ )ᖢ	9	Klingon_language	set3/a5	easy	Does the Klingon Language Institute exist?	False	False	Yes	easy
ᖤ( ᑒ )ᖢ	9	Klingon_language	set3/a5	easy	Does the Klingon Language Institute exist?	False	False	yes	easy
ᖤ( ᑒ )ᖢ	10	Leo_(constellation)	set2/a1	hard	What did the Indians name Leo?	False	False	Simha	medium
ᖤ( ᑒ )ᖢ	10	Leo_(constellation)	set2/a1	hard	What did the Indians name Leo?	False	False	Simha	medium
ᖤ( ᑒ )ᖢ	11	Leo_(constellation)	set2/a1	hard	Is Messier 105 part of the Leo Triplet?	False	False	yes	easy
ᖤ( ᑒ )ᖢ	11	Leo_(constellation)	set2/a1	hard	Is Messier 105 part of the Leo Triplet?	False	False	no	medium
ᖤ( ᑒ )ᖢ	12	Leo_(constellation)	set2/a1	hard	Is Wolf 359 brighter than CW Leo?	False	False	yes	hard
ᖤ( ᑒ )ᖢ	12	Leo_(constellation)	set2/a1	hard	Is Wolf 359 brighter than CW Leo?	False	False	no	hard
ᖤ( ᑒ )ᖢ	13	Leo_(constellation)	set2/a1	medium	How far is NGC 2903 from Earth?	False	False	25 million light-years	medium
ᖤ( ᑒ )ᖢ	13	Leo_(constellation)	set2/a1	medium	How far is NGC 2903 from Earth?	False	False	25 million light-years	easy
ᖤ( ᑒ )ᖢ	14	Leo_(constellation)	set2/a1	medium	What is the magnitude of Zosma?	False	False	2.6	medium
ᖤ( ᑒ )ᖢ	14	Leo_(constellation)	set2/a1	medium	What is the magnitude of Zosma?	False	False	2.6	medium
ᖤ( ᑒ )ᖢ	15	Leo_(constellation)	set2/a1	medium	What does Regulus mean?	False	False	the little king	medium
ᖤ( ᑒ )ᖢ	15	Leo_(constellation)	set2/a1	medium	What does Regulus mean?	False	False	the little king	medium
ᖤ( ᑒ )ᖢ	16	Leo_(constellation)	set2/a1	easy	Is Regulus 102.5 light-years from Earth?	False	False	no	easy
ᖤ( ᑒ )ᖢ	16	Leo_(constellation)	set2/a1	easy	Is Regulus 102.5 light-years from Earth?	False	False	no	easy
ᖤ( ᑒ )ᖢ	17	Leo_(constellation)	set2/a1	easy	Is Cancer to the west of Leo?	False	False	yes	easy
ᖤ( ᑒ )ᖢ	17	Leo_(constellation)	set2/a1	easy	Is Cancer to the west of Leo?	False	False	yes	easy
ᖤ( ᑒ )ᖢ	18	Leo_(constellation)	set2/a1	easy	Do the Leonids occur in April?	False	False	no	easy
ᖤ( ᑒ )ᖢ	18	Leo_(constellation)	set2/a1	easy	Do the Leonids occur in April?	False	False	no	easy
ᖤ( ᑒ )ᖢ	19	The_Linguists	set4/a10	hard	Did Newberger ingest a main ingredient of cocaine to deal with altitude sickness?	False	False	Yes	hard
ᖤ( ᑒ )ᖢ	19	The_Linguists	set4/a10	hard	Did Newberger ingest a main ingredient of cocaine to deal with altitude sickness?	False	False	Yes	hard
ᖤ( ᑒ )ᖢ	20	The_Linguists	set4/a10	hard	About what percentage of the world's languages are going extinct?	False	False	half	hard
ᖤ( ᑒ )ᖢ	20	The_Linguists	set4/a10	hard	About what percentage of the world's languages are going extinct?	False	False	50	hard
ᖤ( ᑒ )ᖢ	21	The_Linguists	set4/a10	hard	Did Anderson and Harrison document languages in Arizona?	False	False	Yes	too hard
ᖤ( ᑒ )ᖢ	21	The_Linguists	set4/a10	hard	Did Anderson and Harrison document languages in Arizona?	False	False	Yes	medium
ᖤ( ᑒ )ᖢ	22	The_Linguists	set4/a10	medium	What language did Anderson and Harrison study in Siberia?	False	False	Chulym	medium
ᖤ( ᑒ )ᖢ	22	The_Linguists	set4/a10	medium	What language did Anderson and Harrison study in Siberia?	False	False	Chulym	medium
ᖤ( ᑒ )ᖢ	23	The_Linguists	set4/a10	medium	What language did Anderson and Harrison study in India?	False	False	Sora	medium
ᖤ( ᑒ )ᖢ	23	The_Linguists	set4/a10	medium	What language did Anderson and Harrison study in India?	False	False	Sora	medium
ᖤ( ᑒ )ᖢ	24	The_Linguists	set4/a10	medium	What language did Anderson and Harrison study in Bolivia?	False	False	Kallawaya	medium
ᖤ( ᑒ )ᖢ	24	The_Linguists	set4/a10	medium	What language did Anderson and Harrison study in Bolivia?	False	False	Kallawaya	medium
ᖤ( ᑒ )ᖢ	25	The_Linguists	set4/a10	easy	Is The Linguists a documentary?	False	False	Yes	easy
ᖤ( ᑒ )ᖢ	25	The_Linguists	set4/a10	easy	Is The Linguists a documentary?	False	False	Yes	easy
ᖤ( ᑒ )ᖢ	26	The_Linguists	set4/a10	easy	Did it take four years to film The Linguists?	False	False	No	easy
ᖤ( ᑒ )ᖢ	26	The_Linguists	set4/a10	easy	Did it take four years to film The Linguists?	False	False	No	easy
ᖤ( ᑒ )ᖢ	27	The_Linguists	set4/a10	easy	Does The Linguist address issues including the spread of major global languages? 	False	False	Yes	easy
ᖤ( ᑒ )ᖢ	27	The_Linguists	set4/a10	easy	Does The Linguist address issues including the spread of major global languages? 	False	False	Yes	easy
ᖤ( ᑒ )ᖢ	28	Ophiuchus	set2/a7	hard	In July, can Ophiuchus be seen from the Arctic Circle?	False	False	no	too hard
ᖤ( ᑒ )ᖢ	28	Ophiuchus	set2/a7	hard	In July, can Ophiuchus be seen from the Arctic Circle?	False	False	No	hard
